doc_id,text,
46,7 Mayıs''ta beyin ölümü gerçekleşen Salih Mirzabeyoğlu vefat etti... https://t.co/wuYfKiDco8 https://t.co/lRXmFrg8ip,
47,Endonezya'da polis merkezine bıçaklı saldırı! https://t.co/mvOwlgeTQ1 https://t.co/xZ2K7PvVnV,
48,Merkez Bankası'ndan dolardaki harekete ilişkin açıklama... https://t.co/W8awZdoEJA https://t.co/NMo2Zz9BpL,
49,"Sabah saatlerinde gözaltına alınan Barış Atay, adliyeye sevk edildi... https://t.co/2s0sOF5gKt https://t.co/DVR0wNs52g",
50,DEAŞ'ın füzecisi Adana'da atık toplarken yakalandı https://t.co/2swbGZcaji https://t.co/MIwq8IOLRs,
51,Anne Frank’ın günlüğünde iki yeni sayfa bulundu! Cinsel içerikli fıkralar yer alıyor... https://t.co/GKpfMOb1vx https://t.co/7oxOovLpYk,
52,Polisten kaçan çıplak çete üyesi camdan düştü https://t.co/ehxtIlD0P7 https://t.co/Kkg3ydVNyw,
53,BBC: Trump müttefiklerini şaşkına çevirdi... https://t.co/eXz2MHPe9y https://t.co/t0k7xr0z8w,
54,"Başbakan Yardımcısı Recep Akdağ: İsrail ve Mısır, yaralıları taşıyacak uçağa izin vermedi... https://t.co/qF5sBzEuFe https://t.co/XumGN85n2n",
55,İETT'den Ramazan'a özel otobüs hatları... https://t.co/rtfLkLoDAx https://t.co/KATgccPDU8,
56,"Almanya'daki gelin, Diyarbakır'daki düğününe 'görüntülü' katıldı... https://t.co/yAW0GtjzkV https://t.co/RZglHhEtrI",
57,"#TürkiyeninNabzı'nda bu akşam 21.00'de @arslandidem'in konukları @gunaydingokhan, @yhacisalihoglu, Prof. Dr. Fuat Keyman, @hby34, Doç. Dr. Barış Doster ve @mervesebnem https://t.co/soffkVHcA7",
58,Oruç metabolizmanızı yavaşlatmasın... İftardan sonra... https://t.co/ulm4OG4R52 https://t.co/og3GOqOQzX,
59,Okul bahçesinde yolcu uçağı! https://t.co/sWk8pwMof1 https://t.co/TIawKbfC9I,
60,Anadolu Farm firmasına üye topladığı ileri sürülen şüpheli gözaltına alındı... https://t.co/vny6DXOtdZ https://t.co/QH6lsZKzGT,
61,"#SICAKGELİŞME... CUMHURBAŞKANI ERDOĞAN, FİLİSTİN’DEKİ SON GELİŞMELERLE İLGİLİ ALMANYA BAŞBAKANI MERKEL'LE TELEFONDA GÖRÜŞTÜ",
62,Kürdan ağırlığında robot böcek üretildi https://t.co/mQ1vvm82r2 https://t.co/BghePP1moK,
63,"Büyükelçi gitti, başkonsolosa da yol göründü... https://t.co/1TJYUHQqbA https://t.co/uBEtw42ZEj",
64,Baklavacılar isyan etti: Bir şartla baklava yaparız... https://t.co/3Yvd36aPnx https://t.co/J17Mmlasno,
65,Futbolculara dayak! Taraftarlar antrenmanı bastı... https://t.co/4G6fRLhIPK https://t.co/4k9EvgIAGF,
66,"#SICAKGELİŞME... TÜRK SİLAHLI KUVVETLERİ, İDLİB'DE 12'NCİ ATEŞKES GÖZLEM NOKTASININ DA KURULDUĞUNU DUYURDU",
67,Güneşin erittiği kadın organlarını bir bir kaybediyor! https://t.co/91LzQ0l2sw https://t.co/DADXD0CArY,
68,Avukat 'FETÖ propagandası'ndan tutuklandı https://t.co/yWiDLYaOCY https://t.co/oFtPVAOM5N,
69,Türkiye'de gençlerin ne kadarı mutlu? https://t.co/W8eRRXCNKH https://t.co/1Rfw9T26LG,
70,Uzmanlar uyardı! Bugünden itibaren Türkiye çöl tozu etkisinde kalacak... https://t.co/nVRWB3sfhy https://t.co/LsHVcso3Jl,
71,Arap Birliği Kudüs için olağanüstü toplandı https://t.co/UMN3gxG6sn https://t.co/O8Lbcs6WlL,
72,FETÖ'ye 'ankesörlü telefon' operasyonu... https://t.co/IknGWJQAG1 https://t.co/ByWzWNLJAg,
73,"Beşiktaş ve Trabzonspor, Sosa için rotayı çizdi: Takas formülü! https://t.co/gtK5VaABMx https://t.co/OMwG6XbRFu",
74,"Washington Büyükelçisi Kılıç: Hükümetimiz çağırdı, geldik https://t.co/3aCRb9JZ4O https://t.co/UjcqJA8Tvc",
75,Felaket filmleri gibi... ABD'yi fırtına vurdu! https://t.co/UpBIg3lWI4 https://t.co/MnHaDRBHgv,
76,Kanada Başbakanı Trudeau'dan Ramazan mesajı... https://t.co/105FvdwWvc https://t.co/0CSUw7vVVx,
77,Kaçak geçiş indirimine Avrasya Tüneli de dahil edildi... https://t.co/QOp9kLEYGQ https://t.co/eIqIgMaAdy,
78,Her 10 kişinin 3'ü hipertansiyon hastası https://t.co/tLSKPZ2X7O https://t.co/THWZ7Mijuw,
79,Eşini keserle öldüren koca her şeyi itiraf etti https://t.co/PsN5RKKK9u https://t.co/TmMPu9lb5d,
80,Onları toplayabilmek için ayılarla yarışıyorlar! https://t.co/1WPvdwKyo4 https://t.co/qvA9mnjuHB,
81,Görenler çok şaşırıyor! Bu ekmeğin tanesi 80 TL https://t.co/lM6Yj0Di1o https://t.co/hSQIjNTUwL,
82,'Her şey dahil' sistemini yanlış anladı! Bavulundan öyle şeyler çıktı ki... https://t.co/I6UGWsJrVj https://t.co/0kFmLdbIN0,
83,ABD'den sonra bir ülke daha Kudüs'te büyükelçilik açtı... https://t.co/0U6FZhBV8e https://t.co/JIXKlBXhaU,
84,"#TürkiyeninNabzı'nda bu akşam 21.00'de @arslandidem'in konukları @gunaydingokhan, @yhacisalihoglu, Prof. Dr. Fuat Keyman, @hby34, Doç. Dr. Barış Doster ve @mervesebnem https://t.co/1ZT7TNb7P6",
85,En yüksek hacimli ilk 100 kripto paradan 93'ü düştü! İşte düşüş oranları... https://t.co/fA5sibkT0n https://t.co/gvk6v2SY2Q,
86,Eski sevgilisine dava açtı... Köpek kimde kalacak? https://t.co/ymbD6PJhG6 https://t.co/JYvavrZJQF,
87,Saplantılı hayranı korkuttu... 12 saat evinde kaldı! https://t.co/R7tfGPMh5d https://t.co/og1jj7cEeA,
88,İstanbul Boğazı'na EDS geliyor! https://t.co/nfk3d2lOyU https://t.co/JE29RFD8P0,
89,Whatsapp bu sabah değişti! https://t.co/yHS5LehDnt https://t.co/W0YFIx5NGa,
90,O hattın metrosu da sürücüsüz olacak! https://t.co/f2se4YUl0L https://t.co/cGkNCAV1m5,
91,Bir kadın cinayetinin anatomisi! Bir anlık öfke değil planlı ‘töre’ cinayeti... https://t.co/j6hmA3nnWJ https://t.co/TjSD4KUNMA,
