,DocID,TokenID,StrtCpt,AllCpt,CptRatio,Length,VwlRatio,NoVwl,NoCns,NoDigit,DigitRatio,NoNonAlpha,NonAlphaRatio,AllCns,Hashtag,Mention,AllDigit,PrevStrtCpt,PrevAllCpt,PrevCptRatio,PrevLength,PrevVwlRatio,PrevNoVwl,NoCns,PrevNoDigit,PrevDigitRatio,PrevNoNonAlpha,PrevNonAlphaRatio,PrevAllCns,PrevHashtag,PrevMention,PrevAllDigit,Targets
37,7,8,True,False,0.08333333333333333,12,0.4166666666666667,5,7,0,0.0,0,0.0,False,False,False,False,False,False,0.0,8,0.375,3,7,0,0.0,0,0.0,False,False,False,False,Event/Activity
38,7,13,False,False,0.0,12,0.3333333333333333,4,8,0,0.0,0,0.0,False,False,False,False,,,,,,,8,,,,,,,,,Address
39,7,17,False,False,0.0,7,0.42857142857142855,3,4,0,0.0,0,0.0,False,False,False,False,,,,,,,4,,,,,,,,,Event/Activity
40,7,18,True,False,0.1111111111111111,9,0.4444444444444444,4,5,0,0.0,0,0.0,False,False,False,False,False,False,0.0,7,0.42857142857142855,3,5,0,0.0,0,0.0,False,False,False,False,Address
41,7,25,False,False,0.0,5,0.4,2,3,0,0.0,0,0.0,False,False,False,False,,,,,,,3,,,,,,,,,Event/Activity
42,7,28,False,False,0.0,5,0.4,2,3,0,0.0,0,0.0,False,False,False,False,,,,,,,3,,,,,,,,,Event/Activity
43,7,29,False,False,0.0,7,0.42857142857142855,3,4,0,0.0,0,0.0,False,False,False,False,False,False,0.0,5,0.4,2,4,0,0.0,0,0.0,False,False,False,False,Event/Activity
44,8,1,False,False,0.0,2,0.0,0,0,2,1.0,0,0.0,False,False,False,True,,,,,,,0,,,,,,,,,Date
45,8,2,True,False,0.16666666666666666,6,0.3333333333333333,2,4,0,0.0,0,0.0,False,False,False,False,False,False,0.0,2,0.0,0,4,2,1.0,0,0.0,False,False,False,True,Date
46,8,4,True,False,0.16666666666666666,6,0.3333333333333333,2,4,0,0.0,0,0.0,False,False,False,False,,,,,,,4,,,,,,,,,Name
47,8,5,True,False,0.1111111111111111,9,0.4444444444444444,4,5,0,0.0,0,0.0,False,False,False,False,True,False,0.16666666666666666,6,0.3333333333333333,2,5,0,0.0,0,0.0,False,False,False,False,Job
48,8,6,False,False,0.0,8,0.375,3,5,0,0.0,0,0.0,False,False,False,False,True,False,0.1111111111111111,9,0.4444444444444444,4,5,0,0.0,0,0.0,False,False,False,False,Event/Activity
49,8,7,False,False,0.0,7,0.42857142857142855,3,4,0,0.0,0,0.0,False,False,False,False,False,False,0.0,8,0.375,3,4,0,0.0,0,0.0,False,False,False,False,Event/Activity
50,8,8,False,False,0.0,5,0.4,2,3,0,0.0,0,0.0,False,False,False,False,False,False,0.0,7,0.42857142857142855,3,3,0,0.0,0,0.0,False,False,False,False,Event/Activity
51,8,9,True,False,0.125,8,0.375,3,5,0,0.0,0,0.0,False,False,False,False,False,False,0.0,5,0.4,2,5,0,0.0,0,0.0,False,False,False,False,Job
52,8,12,False,False,0.0,7,0.42857142857142855,3,4,0,0.0,0,0.0,False,False,False,False,,,,,,,4,,,,,,,,,Event/Activity
53,8,16,False,False,0.0,8,0.375,3,5,0,0.0,0,0.0,False,False,False,False,,,,,,,5,,,,,,,,,Event/Activity
54,8,19,False,False,0.0,15,0.4,6,9,0,0.0,0,0.0,False,False,False,False,,,,,,,9,,,,,,,,,Event/Activity
55,8,20,False,False,0.0,5,0.4,2,3,0,0.0,0,0.0,False,False,False,False,False,False,0.0,15,0.4,6,3,0,0.0,0,0.0,False,False,False,False,Event/Activity
56,8,21,True,False,0.125,8,0.375,3,5,0,0.0,0,0.0,False,False,False,False,False,False,0.0,5,0.4,2,5,0,0.0,0,0.0,False,False,False,False,Job
57,8,25,False,False,0.0,8,0.375,3,5,0,0.0,0,0.0,False,False,False,False,,,,,,,5,,,,,,,,,Event/Activity
58,9,1,True,True,1.0,2,0.5,1,1,0,0.0,0,0.0,False,False,False,False,,,,,,,1,,,,,,,,,Company
59,9,2,True,False,0.2,5,0.4,2,3,0,0.0,0,0.0,False,False,False,False,True,True,1.0,2,0.5,1,3,0,0.0,0,0.0,False,False,False,False,Company
60,9,3,True,False,0.16666666666666666,6,0.5,3,3,0,0.0,0,0.0,False,False,False,False,True,False,0.2,5,0.4,2,3,0,0.0,0,0.0,False,False,False,False,Address
61,9,4,True,False,0.08333333333333333,12,0.4166666666666667,5,7,0,0.0,0,0.0,False,False,False,False,True,False,0.16666666666666666,6,0.5,3,7,0,0.0,0,0.0,False,False,False,False,Job
62,9,5,True,False,0.16666666666666666,6,0.3333333333333333,2,4,0,0.0,0,0.0,False,False,False,False,True,False,0.08333333333333333,12,0.4166666666666667,5,4,0,0.0,0,0.0,False,False,False,False,Name
63,9,10,False,False,0.0,7,0.42857142857142855,3,4,0,0.0,0,0.0,False,False,False,False,,,,,,,4,,,,,,,,,Event/Activity
64,10,6,False,False,0.0,8,0.375,3,5,0,0.0,0,0.0,False,False,False,False,,,,,,,5,,,,,,,,,Event/Activity
65,10,13,False,False,0.0,11,0.36363636363636365,4,7,0,0.0,0,0.0,False,False,False,False,,,,,,,7,,,,,,,,,Company
66,10,14,False,False,0.0,10,0.4,4,6,0,0.0,0,0.0,False,False,False,False,False,False,0.0,11,0.36363636363636365,4,6,0,0.0,0,0.0,False,False,False,False,Company
67,10,15,False,False,0.0,9,0.4444444444444444,4,5,0,0.0,0,0.0,False,False,False,False,False,False,0.0,10,0.4,4,5,0,0.0,0,0.0,False,False,False,False,Event/Activity
68,10,19,True,False,0.16666666666666666,6,0.3333333333333333,2,4,0,0.0,0,0.0,False,False,False,False,,,,,,,4,,,,,,,,,Name
69,10,20,False,False,0.0,7,0.42857142857142855,3,4,0,0.0,0,0.0,False,False,False,False,True,False,0.16666666666666666,6,0.3333333333333333,2,4,0,0.0,0,0.0,False,False,False,False,Event/Activity
70,10,25,False,False,0.0,6,0.5,3,3,0,0.0,0,0.0,False,False,False,False,,,,,,,3,,,,,,,,,Event/Activity
71,11,3,False,False,0.0,5,0.4,2,3,0,0.0,0,0.0,False,False,False,False,,,,,,,3,,,,,,,,,Date
72,12,1,True,False,0.2,5,0.4,2,3,0,0.0,0,0.0,False,False,False,False,,,,,,,3,,,,,,,,,Address
